"Id" ,"Playlist"
"Madcon","Tops 1"
"Kiiara","Tops 1"
"Sia","Tops 1"
"Desiigner","Tops 1"
"Iyaz","Tops 1"
"Projota","Tops 1"
"Emicida","Tops 1"
"Rihanna","Tops 1"
"Adele","Tops 1"
"Dawin","Tops 1"
"Drake","Tops 1"
"Carnage","Tops 1"
"Coldplay","Tops 1"
"KSHMR","Tops 1"
"DNCE","Tops 1"
"Capsize","Tops 1"
"Alok","Tops 1"
"Nickelback","Tops"
"JoJo","Tops"
"Nirvana","Tops"
"Usher","Tops"
"Anitta","Tops"
"Oasis","Top 100 - Baladinhas"
"Extreme","Top 100 - Baladinhas"
"Whitesnake","Top 100 - Baladinhas"
"Coldplay","Top 100 - Baladinhas"
"Aerosmith","Top 100 - Baladinhas"
"Paramore","Top 100 - Baladinhas"
"Hoobastank","Top 100 - Baladinhas"
"McFly","Top 100 - Baladinhas"
"Erasure","Top 100 - Baladinhas"
"Train","Top 100 - Baladinhas"
"Westlife","Top 100 - Baladinhas"
"Nirvana","Top 100 - Baladinhas"
"Evanescence","Top 100 - Baladinhas"
"Eagles","Top 100 - Baladinhas"
"Glee","Top 100 - Baladinhas"
"Queen","Top 100 - Baladinhas"
"Sublime","Top 100 - Baladinhas"
"Madonna","Top 100 - Baladinhas"
"Scorpions","Top 100 - Baladinhas"
"Selena","Tops"
"Rihanna","Tops"
"Sia","Tops"
"Madonna","Tops"
"AVICII","Tops"
"Zedd","Tops"
"Tribalistas","Tops"
"Aliados","Tops"
"Shontelle","Tops"
"Fergie","Tops"
"Oasis","Tops"
"Aerosmith","Tops"
"Juce","NME's Top 50 Tracks of 2014"
"Protomartyr","NME's Top 50 Tracks of 2014"
"Slaves","NME's Top 50 Tracks of 2014"
"Interpol","NME's Top 50 Tracks of 2014"
"Warpaint","NME's Top 50 Tracks of 2014"
"Honeyblood","NME's Top 50 Tracks of 2014"
"Alvvays","NME's Top 50 Tracks of 2014"
"iceage","NME's Top 50 Tracks of 2014"
"Shamir","NME's Top 50 Tracks of 2014"
"Jungle","NME's Top 50 Tracks of 2014"
"Merchandise","NME's Top 50 Tracks of 2014"
"Kasabian","NME's Top 50 Tracks of 2014"
"Caribou","NME's Top 50 Tracks of 2014"
"Pixies","Top 888 of the 80's"
"Manowar","Top 888 of the 80's"
"Helloween","Top 888 of the 80's"
"Sting","Top 888 of the 80's"
"XTC","Top 888 of the 80's"
"Danzig","Top 888 of the 80's"
"Savatage","Top 888 of the 80's"
"Morrissey","Top 888 of the 80's"
"Metallica","Top 888 of the 80's"
"Slayer","Top 888 of the 80's"
"Vengeance","Top 888 of the 80's"
"Venom","Top 888 of the 80's"
"Genesis","Top 888 of the 80's"
"Clannad","Top 888 of the 80's"
"CHIC","Top 888 of the 80's"
"Nirvana","Top 888 of the 80's"
"James","Top 888 of the 80's"
"Misfits","Top 888 of the 80's"
"Sheila","Top 888 of the 80's"
"MGMT","Top 100 Tracks 2013"
"Nause","Top 100 Tracks 2013"
"CAZZETTE","Top 100 Tracks 2013"
"Avicii","Top 100 Tracks 2013"
"Skrillex","Top 100 Tracks 2013"
"Coldplay","Top 100 Tracks 2013"
"Bastille","Top 100 Tracks 2013"
"Baauer","Top 100 Tracks 2013"
"Rihanna","Top 100 Tracks 2013"
"Gorillaz","Top 100 Tracks 2013"
"OutKast","Top 100 Tracks 2013"
"Nirvana","Top 100 Tracks 2013"
"Foals","Top 100 Tracks 2013"
"Journey","Top 100 Tracks 2013"
"Phoenix","Top 100 Tracks 2013"
"Train","Top 100 Tracks 2013"
"Muse","Top 100 Tracks 2013"
"Grouplove","Top 100 Tracks 2013"
"Passenger","Top 100 Tracks 2013"
"Skrillex","Top 100 Tracks 2012"
"Avicii","Top 100 Tracks 2012"
"LMFAO","Top 100 Tracks 2012"
"Train","Top 100 Tracks 2012"
"Coldplay","Top 100 Tracks 2012"
"MGMT","Top 100 Tracks 2012"
"Adele","Top 100 Tracks 2012"
"Blur","Top 100 Tracks 2012"
"Journey","Top 100 Tracks 2012"
"Muse","Top 100 Tracks 2012"
"Nirvana","Top 100 Tracks 2012"
"NERO","Top 100 Tracks 2012"
"Loreen","Top 100 Tracks 2012"
"Gorillaz","Top 100 Tracks 2012"
"Modestep","Top 100 Tracks 2012"
"Kavinsky","Top 100 Tracks 2012"
"Grouplove","Top 100 Tracks 2012"
"Grouplove","Top 100 Rock Songs of 2012"
"Chevelle","Top 100 Rock Songs of 2012"
"Bush","Top 100 Rock Songs of 2012"
"Shinedown","Top 100 Rock Songs of 2012"
"Coldplay","Top 100 Rock Songs of 2012"
"Soundgarden","Top 100 Rock Songs of 2012"
"Muse","Top 100 Rock Songs of 2012"
"Seether","Top 100 Rock Songs of 2012"
"Volbeat","Top 100 Rock Songs of 2012"
"AWOLNATION","Top 100 Rock Songs of 2012"
"Godsmack","Top 100 Rock Songs of 2012"
"Halestorm","Top 100 Rock Songs of 2012"
"Nickelback","Top 100 Rock Songs of 2012"
"Staind","Top 100 Rock Songs of 2012"
"Adele","Top 100 Rock Songs of 2012"
"Evanescence","Top 100 Rock Songs of 2012"
"Switchfoot","Top 100 Rock Songs of 2012"
"PK","Top 100 Bands Of 2012"
"CHVRCHES","Top 100 Bands Of 2012"
"HAIM","Top 100 Bands Of 2012"
"Seye","Top 100 Bands Of 2012"
"LP","Top 100 Bands Of 2012"
"Nameless","Top 100 Bands Of 2012"
"Yuna","Top 100 Bands Of 2012"
"Lawson","Top 100 Bands Of 2012"
"MoRo","Top 100 Bands Of 2012"
"Grimes","Top 100 Bands Of 2012"
"Angel","Top 100 Bands Of 2012"
"Foxes","Top 100 Bands Of 2012"
"Xylos","Top 100 Bands Of 2012"
"TOY","Top 100 Bands Of 2012"
"Patterns","Top 100 Bands Of 2012"
"Kodaline","Top 100 Bands Of 2012"
"Rhye","Top 100 Bands Of 2012"
"Alpine","Top 100 Bands Of 2012"
"Africando","Salsa Top 100"
"Papayo","Salsa Top 100"
"Divan","Salsa Top 100"
"Tekno","Salsa Top 100"
"Fonseca","Salsa Top 100"
"Mirela","Salsa Top 100"
"Flamingosis","Salsa Top 100"
"Albita","Salsa Top 100"
"RIDSA","Salsa Top 100"
"Nassi","Salsa Top 100"
"Incognito","Salsa Top 100"
"Jairzinho","Salsa Top 100"
"Txarango","Salsa Top 100"
"Massari","Salsa Top 100"
"Buhos","Salsa Top 100"
"Nirvana","Top 100 Tracks 2011"
"Moby","Top 100 Tracks 2011"
"Beck","Top 100 Tracks 2011"
"Adele","Top 100 Tracks 2011"
"Skrillex","Top 100 Tracks 2011"
"Blur","Top 100 Tracks 2011"
"Journey","Top 100 Tracks 2011"
"Blondie","Top 100 Tracks 2011"
"Muse","Top 100 Tracks 2011"
"MGMT","Top 100 Tracks 2011"
"Radiohead","Top 100 Tracks 2011"
"NERO","Top 100 Tracks 2011"
"Mud","Top 100 Tracks 2011"
"Survivor","Top 100 Tracks 2011"
"Madonna","Top 100 Tracks 2011"
"Hospitality","Best of 2012 (Top 100+)"
"Fanfarlo","Best of 2012 (Top 100+)"
"Bahamas","Best of 2012 (Top 100+)"
"Chairlift","Best of 2012 (Top 100+)"
"Ladyhawke","Best of 2012 (Top 100+)"
"Metric","Best of 2012 (Top 100+)"
"Joywave","Best of 2012 (Top 100+)"
"Wintersleep","Best of 2012 (Top 100+)"
"Calexico","Best of 2012 (Top 100+)"
"Shearwater","Best of 2012 (Top 100+)"
"Islands","Best of 2012 (Top 100+)"
"Keane","Best of 2012 (Top 100+)"
"HAIM","Best of 2012 (Top 100+)"
"Barcelona","Best of 2012 (Top 100+)"
"Pond","Best of 2012 (Top 100+)"
"Menomena","Best of 2012 (Top 100+)"
"Argent","Outside the Top 40: 1971"
"Audience","Outside the Top 40: 1971"
"Carpenters","Outside the Top 40: 1971"
"Chase","Outside the Top 40: 1971"
"Chicago","Outside the Top 40: 1971"
"Christie","Outside the Top 40: 1971"
"Cochise","Outside the Top 40: 1971"
"Donovan","Outside the Top 40: 1971"
"Funkadelic","Outside the Top 40: 1971"
"Lighthouse","Outside the Top 40: 1971"
"Lobo","Outside the Top 40: 1971"
"Mandrill","Outside the Top 40: 1971"
"Messengers","Outside the Top 40: 1971"
"Argent","Outside the Top 40: 1972"
"Bang","Outside the Top 40: 1972"
"Chase","Outside the Top 40: 1972"
"Chilliwack","Outside the Top 40: 1972"
"Climax","Outside the Top 40: 1972"
"Detroit","Outside the Top 40: 1972"
"Fanny","Outside the Top 40: 1972"
"Foghat","Outside the Top 40: 1972"
"Free","Outside the Top 40: 1972"
"Lighthouse","Outside the Top 40: 1972"
"Lindisfarne","Outside the Top 40: 1972"
"Lobo","Outside the Top 40: 1972"
"Malo","Outside the Top 40: 1972"
"Ambrosia","Outside the Top 40: 1975"
"America","Outside the Top 40: 1975"
"Barrabas","Outside the Top 40: 1975"
"Blackbyrds","Outside the Top 40: 1975"
"Bloodstone","Outside the Top 40: 1975"
"Caravan","Outside the Top 40: 1975"
"Chicago","Outside the Top 40: 1975"
"Fox","Outside the Top 40: 1975"
"Funkadelic","Outside the Top 40: 1975"
"Innervision","Outside the Top 40: 1975"
"KISS","Outside the Top 40: 1975"
"LaBelle","Outside the Top 40: 1975"
"MFSB","Outside the Top 40: 1975"
"Nektar","Outside the Top 40: 1975"
"Orleans","Outside the Top 40: 1975"
"Parliament","Outside the Top 40: 1975"
"Pilot","Outside the Top 40: 1975"
"Poco","Outside the Top 40: 1975"
"Prelude","Outside the Top 40: 1975"
"Avicii","Top 100 Tracks 2014"
"Coldplay","Top 100 Tracks 2014"
"MGMT","Top 100 Tracks 2014"
"OutKast","Top 100 Tracks 2014"
"Deorro","Top 100 Tracks 2014"
"OneRepublic","Top 100 Tracks 2014"
"Bastille","Top 100 Tracks 2014"
"Foals","Top 100 Tracks 2014"
"Gorillaz","Top 100 Tracks 2014"
"Kiesza","Top 100 Tracks 2014"
"Passenger","Top 100 Tracks 2014"
"Klingande","Top 100 Tracks 2014"
"Journey","Top 100 Tracks 2014"
"Nirvana","Top 100 Tracks 2014"
"Metallica","Top 100 Tracks 2014"
"Lorde","Top 100 Tracks 2014"
"Grouplove","Top 100 Tracks 2014"
"Muse","Top 100 Tracks 2014"
"Aerosmith","Outside the Top 40: 1976"
"Ambrosia","Outside the Top 40: 1976"
"America","Outside the Top 40: 1976"
"Blackbyrds","Outside the Top 40: 1976"
"Bloodstone","Outside the Top 40: 1976"
"Camel","Outside the Top 40: 1976"
"Carpenters","Outside the Top 40: 1976"
"Firefall","Outside the Top 40: 1976"
"Foghat","Outside the Top 40: 1976"
"Funkadelic","Outside the Top 40: 1976"
"Heart","Outside the Top 40: 1976"
"Jakki","Outside the Top 40: 1976"
"Jigsaw","Outside the Top 40: 1976"
"KISS","Outside the Top 40: 1976"
"Marmalade","Outside the Top 40: 1976"
"Osibisa","Outside the Top 40: 1976"
"Pilot","Outside the Top 40: 1976"
"Poco","Outside the Top 40: 1976"
"Foals","Amazingly Awesome Alternative Top 50"
"Beck","Amazingly Awesome Alternative Top 50"
"Refused","Amazingly Awesome Alternative Top 50"
"Soundgarden","Amazingly Awesome Alternative Top 50"
"Phoenix","Amazingly Awesome Alternative Top 50"
"Nirvana","Amazingly Awesome Alternative Top 50"
"Blur","Amazingly Awesome Alternative Top 50"
"Incubus","Amazingly Awesome Alternative Top 50"
"Stereophonics","Amazingly Awesome Alternative Top 50"
"Gorillaz","Amazingly Awesome Alternative Top 50"
"Wolfmother","Amazingly Awesome Alternative Top 50"
"Low","Amazingly Awesome Alternative Top 50"
"Candlebox","Amazingly Awesome Alternative Top 50"
"Marshmello","Top 100 Future Bass Tracks On Spotify"
"Hermitude","Top 100 Future Bass Tracks On Spotify"
"Galantis","Top 100 Future Bass Tracks On Spotify"
"Rustie","Top 100 Future Bass Tracks On Spotify"
"ODESZA","Top 100 Future Bass Tracks On Spotify"
"Lookas","Top 100 Future Bass Tracks On Spotify"
"Grimm","Top 100 Future Bass Tracks On Spotify"
"Skrux","Top 100 Future Bass Tracks On Spotify"
"Flume","Top 100 Future Bass Tracks On Spotify"
"Giraffage","Top 100 Future Bass Tracks On Spotify"
"Subtact","Top 100 Future Bass Tracks On Spotify"
"autolaser","Top 100 Future Bass Tracks On Spotify"
"Adele","Music's Top 100 ICONS!"
"Oasis","Music's Top 100 ICONS!"
"Ramones","Music's Top 100 ICONS!"
"Prince","Music's Top 100 ICONS!"
"Nirvana","Music's Top 100 ICONS!"
"Madonna","Music's Top 100 ICONS!"
"Queen","Music's Top 100 ICONS!"
"Aerosmith","Music's Top 100 ICONS!"
"Metallica","Music's Top 100 ICONS!"
"Cream","Music's Top 100 ICONS!"
"Radiohead","Music's Top 100 ICONS!"
"Eagles","Music's Top 100 ICONS!"
"Eminem","Music's Top 100 ICONS!"
"Badfinger","Outside the Top 40: 1974"
"Blackbyrds","Outside the Top 40: 1974"
"Bloodstone","Outside the Top 40: 1974"
"Cher","Outside the Top 40: 1974"
"Chilliwack","Outside the Top 40: 1974"
"Commodores","Outside the Top 40: 1974"
"Eagles","Outside the Top 40: 1974"
"Fanny","Outside the Top 40: 1974"
"Heartsfield","Outside the Top 40: 1974"
"KISS","Outside the Top 40: 1974"
"Latimore","Outside the Top 40: 1974"
"Lobo","Outside the Top 40: 1974"
"MFSB","Outside the Top 40: 1974"
"NRBQ","Outside the Top 40: 1974"
"Parliament","Outside the Top 40: 1974"
"Redbone","Outside the Top 40: 1974"
"Ripple","Outside the Top 40: 1974"
"Santana","Outside the Top 40: 1974"
"Kostrok","The Top 100 Remixes of 2013"
"Clubfeet","The Top 100 Remixes of 2013"
"JMSN","The Top 100 Remixes of 2013"
"Banks","The Top 100 Remixes of 2013"
"Marlene","The Top 100 Remixes of 2013"
"letherette","The Top 100 Remixes of 2013"
"Vitalic","The Top 100 Remixes of 2013"
"Brothertiger","The Top 100 Remixes of 2013"
"Maps","The Top 100 Remixes of 2013"
"Valaire","The Top 100 Remixes of 2013"
"Everywhere","The Top 100 Remixes of 2013"
"Brett","The Top 100 Remixes of 2013"
"Hozier","2014 Top 50 Albums by soundofus.com"
"Caribou","2014 Top 50 Albums by soundofus.com"
"Foxygen","2014 Top 50 Albums by soundofus.com"
"iceage","2014 Top 50 Albums by soundofus.com"
"Beck","2014 Top 50 Albums by soundofus.com"
"Goat","2014 Top 50 Albums by soundofus.com"
"Pegase","2014 Top 50 Albums by soundofus.com"
"EMA","2014 Top 50 Albums by soundofus.com"
"Greyhounds","2014 Top 50 Albums by soundofus.com"
"Liars","2014 Top 50 Albums by soundofus.com"
"Breton","2014 Top 50 Albums by soundofus.com"
"Inpetto","Cr2 Records Presents: Top 100 Dance Tracks"
"Tensnake","Cr2 Records Presents: Top 100 Dance Tracks"
"Disciples","Cr2 Records Presents: Top 100 Dance Tracks"
"Redlight","Cr2 Records Presents: Top 100 Dance Tracks"
"Tritonal","Cr2 Records Presents: Top 100 Dance Tracks"
"Murdock","Cr2 Records Presents: Top 100 Dance Tracks"
"Jett","Cr2 Records Presents: Top 100 Dance Tracks"
"Fono","Cr2 Records Presents: Top 100 Dance Tracks"
"Felguk","Cr2 Records Presents: Top 100 Dance Tracks"
"Flatdisk","Cr2 Records Presents: Top 100 Dance Tracks"
"Sevag","Cr2 Records Presents: Top 100 Dance Tracks"
"Sia","Top 100 under 3-minute songs"
"Blur","Top 100 under 3-minute songs"
"Nirvana","Top 100 under 3-minute songs"
"Pixies","Top 100 under 3-minute songs"
"Deerhunter","Top 100 under 3-minute songs"
"Weezer","Top 100 under 3-minute songs"
"Cream","Top 100 under 3-minute songs"
"Eels","Top 100 under 3-minute songs"
"Blondie","Top 100 under 3-minute songs"
"KISS","Top 100 under 3-minute songs"
"Ramones","Top 100 under 3-minute songs"
"Badfinger","Top 100 under 3-minute songs"
"Rockhead","Top 100 under 3-minute songs"
"Melanie","Top 100 under 3-minute songs"
"Beck","NPR Music's Top 100 Songs of 2013"
"Bonobo","NPR Music's Top 100 Songs of 2013"
"CHVRCHES","NPR Music's Top 100 Songs of 2013"
"Ciara","NPR Music's Top 100 Songs of 2013"
"Daughter","NPR Music's Top 100 Songs of 2013"
"Foxygen","NPR Music's Top 100 Songs of 2013"
"Jaheim","NPR Music's Top 100 Songs of 2013"
"Jucifer","NPR Music's Top 100 Songs of 2013"
"KMFH","NPR Music's Top 100 Songs of 2013"
"Lemuria","NPR Music's Top 100 Songs of 2013"
"Lorde","NPR Music's Top 100 Songs of 2013"
"Pelican","NPR Music's Top 100 Songs of 2013"
"Phosphorescent","NPR Music's Top 100 Songs of 2013"
"Rapsody","NPR Music's Top 100 Songs of 2013"
"Rhye","NPR Music's Top 100 Songs of 2013"
"Stromae","NPR Music's Top 100 Songs of 2013"
"Suede","NPR Music's Top 100 Songs of 2013"
"Typhoon","NPR Music's Top 100 Songs of 2013"
"Mastodon","Metal Top 40"
"Architects","Metal Top 40"
"Disturbed","Metal Top 40"
"Trivium","Metal Top 40"
"Deftones","Metal Top 40"
